key,en,jp,vi
NOTI_ITEM_KONIAL_LOVE_BONUS,Konial Affection + %d,コニアル好感度 + %d,Thiện cảm Konial + %d
SAVE_H_SCENE,H-Scene,Hシーン,Phân cảnh H
SCENE_LYING_SIDEWAYS,Lying on Side,側位,Trắc vị song tu
DESTINATION_HINT_CLOCK_TITLE,Broken Clock,壊れた時計,Đồng hồ hỏng
CREDIT_SPECIALTHANKS,Special Thanks,スペシャルサンクス,Cám ơn đặc biệt
DESTINATION_HINT_SNOWMAN_INFO,"[color=#ADFF2F]It's hard to see snow where you are, isn't it? The snow you love so much[/color] falls endlessly here—it's actually become a nuisance.
But finally, next month, I'll be able to come see you. On that train.
If you'd known beforehand, you would've told me not to come. But I can't bear lying in this hospital bed any longer.
At this rate, I might not live to see spring. So I want to see you at least one more time before then.
Snow melts too quickly to bring with me... but I'll bring a snowman doll that looks just like you.
...Once the snow stops, please meet me when I get off in the Car you always used to sit in.""","[color=#ADFF2F]そちらでは、あまり雪を見ることがないでしょう？ あなたが大好きな雪[/color]が、こちらではうんざりするほど降り積もるので困りものです。
でも…来月になれば、やっとあなたに会いに行けます。列車に乗って。
あなたがそれを知ったら、来るなと言うでしょうね。でも、もう病室のベッドで寝ているのは嫌なんです。
このままじゃ、春が訪れを見られないかもしれない。その前に、もう一度だけでもあなたに会いたいから。
雪はすぐに溶けてしまうから、持ってはいけないけど……あなたにそっくりな雪だるまの人形を持っていきますね。
……雪が止んだら、あなたがいつも座っていた……車両から降りる私を、迎えてくださいね。","[color=#ADFF2F]Ở chỗ anh rất khó thấy tuyết đúng không? Tuyết mà anh vô cùng yêu thích[/color] rơi không ngừng ở nơi này — thật ra nó còn gây ra chút phiền thoát nữa.\nNhưng cuối cùng thì tháng sau em có thể đến gặp anh rồi. Bằng chuyến tàu đó đấy.\nNếu anh biết trước thế nào cũng cản em lại. Nhưng em không muốn tiếp tục nằm trên giường bệnh này nữa đâu.\nCứ đà này có khi em không thể sống đến lúc mùa xuân tới. Nên em muốn gặp anh thêm ít nhất một lần nữa trước lúc đó.\nTuyết tan rất nhanh nên em không thể mang theo được... nhưng em sẽ mang theo một búp bê người tuyết trông rất giống anh.\n...Khi tuyết ngừng rơi, xin hãy đón em tại toa tàu mà anh vẫn thường ngồi ngày xưa nhé."
DESTINATION_HINT_MIRROR_TITLE,Rod and Rope,棒と紐,Gậy và dây thừng
NOTI_ITEM_TIME_BONUS,Ticket + %d,チケット + %d,Vé + %d
ROUTE_TITLE_PARTNER_ANOMALY1,Exposure: Breasts,露出：おっぱい,Lộ đồ: Ngực
ROUTE_TITLE_PARTNER_ANOMALY2,Exposure: Breasts+,露出：おっぱい＋,Lộ đồ: Ngực+
ROUTE_TITLE_PARTNER_ANOMALY3,Exposure: Panties,露出：パンツ,Lộ đồ: Quần lót
ROUTE_TITLE_PARTNER_ANOMALY4,Hairstyle,ヘアスタイル,Kiểu tóc
OPTION_BACK,Back,戻る,Quay lại
DARUMA_CHAN,Daruma,だるまちゃん,Daruma
ROUTE_TITLE_PARTNER_ANOMALY5,Exposure: Explore,露出：探索,Lộ đồ: Thám hiểm
ROUTE_TITLE_PARTNER_ANOMALY6,Exposure: Explore+,露出：探索＋,Lộ đồ: Thám hiểm+
SCENE_FULL_DOGGY,Love Love Doggy Style,ラブラブバック,La hán đẩy xe bò nồng thắm
NOTI_AUTOSAVE_COMPLETE,Auto-save completed,オートセーブ完了,Đã hoàn thành tự động lưu
ROUTE_INFO_LOWSPEED,That was merely a slow zone just now.,今のは徐行区間でございました。,Vừa rồi chỉ là khu vực chạy chậm mà thôi.
OPTION_FULLSCREEN,Full Screen,フルスクリーン,Toàn màn hình
DESTINATION_D_CAT,Broken Car,故障車両,Toa tàu hỏng
DIALOG_SKIP,Skip (Ctrl),スキップ (Ctrl),Tua (Ctrl)
SYSTEM_EXIT_CONFIRM,Exit Game,ゲーム終了,Thoát game
OPTION_TAB_GAMEPLAY,Gameplay,ゲームプレイ,Gameplay
OPTION_HINT_BUBBLE,Failure Hint,失敗のヒント,Gợi ý thất bại
OPTION_BROADCAST_INTERVAL,Broadcast Interval,配信間隔,Khoảng thời gian phát sóng
BROADCAST_INTERVAL_STANDARD,Standard,標準,Tiêu chuẩn
BROADCAST_INTERVAL_LONG,Long,長い,Dài
BROADCAST_INTERVAL_OFF,Off,オフ,Tắt
